trader_name,source,section,rank,est. % return,# of holdings,est. stock aum (usd),page,scraped_at
PERCEPTIVE ADVISORS LLC,quiver,institutional_13f,147,+46.64%,74,"$2,708,413,386",1,2025-10-14T11-57-48Z
"Lloyd Harbor Capital Management, LLC",quiver,institutional_13f,148,+46.52%,13,"$185,822,903",1,2025-10-14T11-57-48Z
"Nut Tree Capital Management, LP",quiver,institutional_13f,149,+46.40%,8,"$371,010,281",1,2025-10-14T11-57-48Z
"Redwood Grove Capital, LLC",quiver,institutional_13f,150,+46.27%,19,"$341,494,443",1,2025-10-14T11-57-48Z
Alight Capital Management LP,quiver,institutional_13f,151,+46.21%,52,"$451,411,392",1,2025-10-14T11-57-48Z
Patient Square Capital LP,quiver,institutional_13f,152,+46.16%,15,"$384,319,103",1,2025-10-14T11-57-48Z
Slate Path Capital LP,quiver,institutional_13f,153,+45.70%,33,"$6,588,824,459",1,2025-10-14T11-57-48Z
Andar Capital Management HK Ltd,quiver,institutional_13f,154,+45.67%,13,"$92,762,380",1,2025-10-14T11-57-48Z
Checkpoint Capital L.P.,quiver,institutional_13f,155,+45.54%,6,"$277,827,276",1,2025-10-14T11-57-48Z
"Siren, L.L.C.",quiver,institutional_13f,156,+45.53%,79,"$2,026,870,220",1,2025-10-14T11-57-48Z
"Birchview Capital, LP",quiver,institutional_13f,157,+45.40%,62,"$115,130,944",1,2025-10-14T11-57-48Z
"X-Square Capital, LLC",quiver,institutional_13f,158,+45.28%,145,"$288,327,524",1,2025-10-14T11-57-48Z
Panview Capital Ltd,quiver,institutional_13f,159,+45.15%,9,"$428,046,110",1,2025-10-14T11-57-48Z
FourWorld Capital Management LLC,quiver,institutional_13f,160,+45.14%,14,"$42,723,268",1,2025-10-14T11-57-48Z
Logos Global Management LP,quiver,institutional_13f,161,+45.01%,44,"$1,011,633,442",1,2025-10-14T11-57-48Z
ARDSLEY ADVISORY PARTNERS LP,quiver,institutional_13f,162,+44.91%,87,"$567,574,591",1,2025-10-14T11-57-48Z
Deer Park Road Corp,quiver,institutional_13f,163,+44.46%,3,"$24,847,578",1,2025-10-14T11-57-48Z
Fort Baker Capital Management LP,quiver,institutional_13f,164,+44.36%,29,"$339,873,516",1,2025-10-14T11-57-48Z
Credit Capital Investments LLC,quiver,institutional_13f,165,+44.07%,37,"$85,303,377",1,2025-10-14T11-57-48Z
Opaleye Management Inc.,quiver,institutional_13f,166,+43.99%,32,"$592,693,740",1,2025-10-14T11-57-48Z
"AH Capital Management, L.L.C.",quiver,institutional_13f,167,+43.82%,9,"$387,923,824",1,2025-10-14T11-57-48Z
BAKER BROS. ADVISORS LP,quiver,institutional_13f,168,+43.76%,80,"$10,673,106,809",1,2025-10-14T11-57-48Z
Proem Advisors LLC,quiver,institutional_13f,169,+43.68%,25,"$362,351,850",1,2025-10-14T11-57-48Z
Archon Capital Management LLC,quiver,institutional_13f,170,+43.35%,41,"$128,446,229",1,2025-10-14T11-57-48Z
Marex Group plc,quiver,institutional_13f,171,+43.30%,404,"$5,516,894,351",1,2025-10-14T11-57-48Z
Napean Trading & Investment Co (Singapore) PTE Ltd,quiver,institutional_13f,172,+43.27%,27,"$382,999,247",1,2025-10-14T11-57-48Z
Broad Peak Investment Advisers Pte Ltd,quiver,institutional_13f,173,+43.22%,11,"$256,786,182",1,2025-10-14T11-57-48Z
DAFNA Capital Management LLC,quiver,institutional_13f,174,+43.10%,60,"$425,548,300",1,2025-10-14T11-57-48Z
SW Investment Management LLC,quiver,institutional_13f,175,+42.93%,7,"$511,316,100",1,2025-10-14T11-57-48Z
"5AM Venture Management, LLC",quiver,institutional_13f,176,+42.89%,27,"$269,196,793",1,2025-10-14T11-57-48Z
Pivotal bioVenture Partners Investment Advisor LLC,quiver,institutional_13f,177,+42.81%,6,"$117,308,126",1,2025-10-14T11-57-48Z
"Deep Track Capital, LP",quiver,institutional_13f,178,+42.79%,37,"$3,542,966,546",1,2025-10-14T11-57-48Z
Kanen Wealth Management LLC,quiver,institutional_13f,179,+42.58%,23,"$259,297,116",1,2025-10-14T11-57-48Z
Foresite Capital Management VI LLC,quiver,institutional_13f,180,+42.45%,11,"$91,552,312",1,2025-10-14T11-57-48Z
MIC Capital Management UK LLP,quiver,institutional_13f,181,+41.74%,13,"$634,716,872",1,2025-10-14T11-57-48Z
"RA CAPITAL MANAGEMENT, L.P.",quiver,institutional_13f,182,+41.59%,37,"$6,260,062,713",1,2025-10-14T11-57-48Z
Privium Fund Management B.V.,quiver,institutional_13f,183,+41.52%,53,"$582,096,085",1,2025-10-14T11-57-48Z
FengHe Fund Management Pte. Ltd.,quiver,institutional_13f,184,+41.23%,18,"$642,890,140",1,2025-10-14T11-57-48Z
Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.,quiver,institutional_13f,185,+41.11%,32,"$24,124,935",1,2025-10-14T11-57-48Z
"Casdin Capital, LLC",quiver,institutional_13f,186,+41.09%,31,"$1,309,929,446",1,2025-10-14T11-57-48Z
Lynrock Lake LP,quiver,institutional_13f,187,+40.89%,14,"$732,451,480",1,2025-10-14T11-57-48Z
JAT Capital Mgmt LP,quiver,institutional_13f,188,+40.53%,14,"$40,438,617",1,2025-10-14T11-57-48Z
Shay Capital LLC,quiver,institutional_13f,189,+40.50%,223,"$482,595,664",1,2025-10-14T11-57-48Z
Palo Alto Investors LP,quiver,institutional_13f,190,+40.45%,40,"$605,994,567",1,2025-10-14T11-57-48Z
"SR ONE CAPITAL MANAGEMENT, LP",quiver,institutional_13f,191,+40.29%,6,"$387,568,014",1,2025-10-14T11-57-48Z
"Broad Run Investment Management, LLC",quiver,institutional_13f,192,+39.70%,23,"$813,772,276",1,2025-10-14T11-57-48Z
RPD Fund Management LLC,quiver,institutional_13f,193,+39.64%,5,"$179,840,268",1,2025-10-14T11-57-48Z
Eleva Capital SAS,quiver,institutional_13f,194,+39.57%,29,"$74,617,133",1,2025-10-14T11-57-48Z
Rovida Investment Management Ltd,quiver,institutional_13f,195,+39.46%,14,"$492,167,724",1,2025-10-14T11-57-48Z
Rovida Advisors Inc.,quiver,institutional_13f,196,+39.46%,14,"$492,167,724",1,2025-10-14T11-57-48Z
HARBOURVEST PARTNERS LLC,quiver,institutional_13f,197,+39.35%,11,"$109,042,569",1,2025-10-14T11-57-48Z
UG Investment Advisers Ltd.,quiver,institutional_13f,198,+39.30%,9,"$633,877,753",1,2025-10-14T11-57-48Z
"New Leaf Venture Partners, L.L.C.",quiver,institutional_13f,199,+39.29%,8,"$45,133,800",1,2025-10-14T11-57-48Z
"FWL INVESTMENT MANAGEMENT, LLC",quiver,institutional_13f,200,+39.18%,311,"$379,540,271",1,2025-10-14T11-57-48Z
Whale Rock Capital Management LLC,quiver,institutional_13f,201,+39.03%,42,"$8,436,469,182",1,2025-10-14T11-57-48Z
"Cormorant Asset Management, LP",quiver,institutional_13f,202,+38.88%,23,"$958,971,381",1,2025-10-14T11-57-48Z
CAXTON CORP,quiver,institutional_13f,203,+38.81%,4,"$2,501,892",1,2025-10-14T11-57-48Z
Artia Global Partners LP,quiver,institutional_13f,204,+38.71%,29,"$384,953,198",1,2025-10-14T11-57-48Z
LM Asset (IM) Inc.,quiver,institutional_13f,205,+38.70%,9,"$136,990,491",1,2025-10-14T11-57-48Z
TANG CAPITAL MANAGEMENT LLC,quiver,institutional_13f,206,+38.46%,185,"$2,335,160,585",1,2025-10-14T11-57-48Z
Maridea Wealth Management LLC,quiver,institutional_13f,207,+38.45%,239,"$406,359,386",1,2025-10-14T11-57-48Z
"Prosight Management, LP",quiver,institutional_13f,208,+38.40%,33,"$514,186,553",1,2025-10-14T11-57-48Z
Taconic Capital Advisors LP,quiver,institutional_13f,209,+38.38%,22,"$143,467,638",1,2025-10-14T11-57-48Z
"Nextech Invest, Ltd.",quiver,institutional_13f,210,+38.17%,13,"$651,394,638",1,2025-10-14T11-57-48Z
Hauser Brothers GmbH,quiver,institutional_13f,211,+38.17%,6,"$95,720,296",1,2025-10-14T11-57-48Z
"Whitefort Capital Management, LP",quiver,institutional_13f,212,+38.16%,14,"$253,026,247",1,2025-10-14T11-57-48Z
"Atlas Venture Life Science Advisors, LLC",quiver,institutional_13f,213,+38.08%,4,"$472,881,948",1,2025-10-14T11-57-48Z
Orion Resource Partners LP,quiver,institutional_13f,214,+38.07%,17,"$329,600,200",1,2025-10-14T11-57-48Z
Aisling Capital Management LP,quiver,institutional_13f,215,+38.05%,7,"$395,999,189",1,2025-10-14T11-57-48Z
"Ancient Art, L.P.",quiver,institutional_13f,216,+37.94%,11,"$376,584,329",1,2025-10-14T11-57-48Z
EVR Research LP,quiver,institutional_13f,217,+37.89%,26,"$202,287,747",1,2025-10-14T11-57-48Z
"B Group, Inc.",quiver,institutional_13f,218,+37.81%,10,"$120,856,422",1,2025-10-14T11-57-48Z
ENGINE NO. 1 LLC,quiver,institutional_13f,219,+37.75%,4,"$74,514,930",1,2025-10-14T11-57-48Z
Almitas Capital LLC,quiver,institutional_13f,220,+37.69%,54,"$181,748,876",1,2025-10-14T11-57-48Z
"Fore Capital, LLC",quiver,institutional_13f,221,+37.28%,15,"$31,902,048",1,2025-10-14T11-57-48Z
Monashee Investment Management LLC,quiver,institutional_13f,222,+36.92%,24,"$146,915,339",1,2025-10-14T11-57-48Z
Informed Momentum Co LLC,quiver,institutional_13f,223,+36.90%,170,"$636,864,887",1,2025-10-14T11-57-48Z
MEDICI CAPITAL LLC,quiver,institutional_13f,224,+36.71%,13,"$97,642,350",1,2025-10-14T11-57-48Z
"Nishkama Capital, LLC",quiver,institutional_13f,225,+36.67%,39,"$670,674,526",1,2025-10-14T11-57-48Z
